rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,199,idan,oauthlib,squirly,2013-07-26 18:26:57,"It does not make sense to return a `302` with `oob?oauth_token=...&oauth_verifier=...`.

Instead the endpoint should return a `200` with the data in the body. The implementer is responsible for presenting this data to the client. This also keeps the endpoint API consistent.
",start issue,"The authorization endpoint now returns a 200 on ""oob"" oauth_callbacks.",It make sens return instead endpoint return data bodi the implement respons present data client thi also keep endpoint api consist
issue_closed,199,idan,oauthlib,ib-lundgren,2013-08-03 18:56:18,,closed issue,"The authorization endpoint now returns a 200 on ""oob"" oauth_callbacks.",
pull_request_title,199,idan,oauthlib,squirly,2013-07-26 18:26:57,"It does not make sense to return a `302` with `oob?oauth_token=...&oauth_verifier=...`.

Instead the endpoint should return a `200` with the data in the body. The implementer is responsible for presenting this data to the client. This also keeps the endpoint API consistent.
",517e01f5db428fe4c3e56119faad1760a8841c9f,"The authorization endpoint now returns a 200 on ""oob"" oauth_callbacks.",It make sens return instead endpoint return data bodi the implement respons present data client thi also keep endpoint api consist
pull_request_merged,199,idan,oauthlib,ib-lundgren,2013-08-03 18:56:18,"The authorization endpoint now returns a 200 on ""oob"" oauth_callbacks.",b5f3cb2fcdc132e6fbabe78fc459b396d328b227,Pull request merge from squirly/oauthlib:master to idan/oauthlib:master,the author endpoint return 200 oob oauthcallback
issue_comment,199,idan,oauthlib,ib-lundgren,2013-07-29 10:17:30,"@squirly Thanks for the PR :) and sorry for the late response. 

Before I dig into code review I think this PR warrants some discussion because it attempts to add detail to a rather vague area of the OAuth 1 spec, handling out of bound ""oob"" callbacks. The definition of `oauth_callback`

```
An absolute URI back to which the server will
redirect the resource owner when the Resource Owner
Authorization step (Section 2.2) is completed.  If
the client is unable to receive callbacks or a
callback URI has been established via other means,
the parameter value MUST be set to ""oob"" (case
sensitive), to indicate an out-of-band
configuration.
```

Note: The `oauth_callback` param is part of the temporary credentials request (i.e. to `RequestTokenEndpoint`, not `AuthorizationEndpoint`). 

If the callback URI has been established through other means (i.e. client registration) then a reasonable approach would be that the provider replaces ""oob"" during `validate_redirect_uri` with the pre-registered URI (`https://the.client/callback`). Similarly if the intention is for the provider to show a ""Here is the verifier, please copy/paste it."" screen it would replace ""oob"" with their own URI (`https://the.provider/show-verifier`). So far none of this would require changes to `oauthlib`.

If the client is unable to receive callbacks (CLI app for example) then the provider could replace ""oob"" to redirect the client to a view returning the verifier in the response body instead of the URI. This would require some extra work on the provider or alternatively this PR. However since this is not per the spec and might not be of interest to all providers I'm inclined to let each provider implement this if they want it.

```
  # https://the.provider/change-response
  def change_response(request):
      return Response(body=urlencode(request.query.args), status=200) 
```
",,,squirli thank PR sorri late respons befor I dig code review I think PR warrant discuss attempt add detail rather vagu area oauth 1 spec handl bound oob callback the definit note the param part temporari credenti request ie If callback uri establish mean ie client registr reason approach would provid replac oob preregist uri similarli intent provid show here verifi pleas copypast screen would replac oob uri So far none would requir chang If client unabl receiv callback cli app exampl provid could replac oob redirect client view return verifi respons bodi instead uri thi would requir extra work provid altern PR howev sinc per spec might interest provid Im inclin let provid implement want
issue_comment,199,idan,oauthlib,squirly,2013-07-31 18:28:17,"It seems that the current response suggests that a 302 Found (Redirect) response should be returned to the user-end in all cases. Even on a ""oob"" callback. It would be more appropriate to return no status code on a ""oob"" callback from this library, as this is truly making no assumptions.

As we are talking about the authorization endpoint, and how it relates to the OAuth RFC. It seems that having location returned as the first parameter is not the most straight forward API, because it convolutes the request and access token endpoints APIs. An HTTP response like object is returned by the library for all endpoints. A 302 response should have a field ""Location _uri_"", [10.3.3 302 Found](http://www.w3.org/Protocols/rfc2616/rfc2616-sec10.html#sec10.3.3). Adding the URI to the header would be more intuitive, as it follows http, than having it returned as the first parameter. Though, this is not actually in the OAuth RFC as there is not obligation for the provider to return a 302 response to the client.

```
For example, the server redirects the resource owner's user-agent to
make the following HTTP request:

  GET /cb?x=1&oauth_token=hdk48Djdsa&oauth_verifier=473f82d3 HTTP/1.1
  Host: client.example.net

If the client did not provide a callback URI, the server SHOULD
display the value of the verification code, and instruct the resource
owner to manually inform the client that authorization is completed.
If the server knows a client to be running on a limited device, it
SHOULD ensure that the verifier value is suitable for manual entry.
```

[2.2 Resource Owner Authorization](http://tools.ietf.org/html/rfc5849#section-2.2)

In my opinion, regardless of the OAuth RFC, I think that a 302 response is a very acceptable assumption if a callback is provided. But if this assumption is made, the URI should be moved into the headers return parameter and the URI return parameter be removed completely.

I am willing to make a pull request for these changes, but I would like to further discuss before doing any coding.
",,,It seem current respons suggest 302 found redirect respons return userend case even oob callback It would appropri return statu code oob callback librari truli make assumpt As talk author endpoint relat oauth rfc It seem locat return first paramet straight forward api convolut request access token endpoint api An http respons like object return librari endpoint A 302 respons field locat uri 1033 302 found ad uri header would intuit follow return first paramet though actual oauth rfc oblig provid return 302 respons client 22 resourc owner author In opinion regardless oauth rfc I think 302 respons accept assumpt callback provid but assumpt made uri move header return paramet uri return paramet remov complet I will make pull request chang I would like discuss code
issue_comment,199,idan,oauthlib,ib-lundgren,2013-07-31 21:51:06,"Excellent point about the Location header, that is indeed better. While oauthlib is still not stable such a change might break compatibility with existing implementations. Roping in @synasius and @lepture for input on this. If it makes sense an alternative would be to add the Location header but keep the returned URI as is. This could be confusing tho.

I'm still not sure why the redirect uri would remain plain ""oob"" after request token creation. While I agree that returning a 200 with the token is more useful than an invalid redirect uri I am not sure I see which use cases this would be for. Got any example to help enlighten me?
",,,excel point locat header inde better while oauthlib still stabl chang might break compat exist implement rope synasiu leptur input If make sens altern would add locat header keep return uri thi could confus tho Im still sure redirect uri would remain plain oob request token creation while I agre return 200 token use invalid redirect uri I sure I see use case would got exampl help enlighten
issue_comment,199,idan,oauthlib,squirly,2013-07-31 22:53:08,"The API change went out to pypi 23 days ago (0.5.0 July 9, 2013). So if there is another API change sooner would be better than later.
",,,the api chang went pypi 23 day ago 050 juli 9 2013 So anoth api chang sooner would better later
issue_comment,199,idan,oauthlib,squirly,2013-07-31 23:30:28,"**EXAMPLE**
I need to return the verifier to the user for my desktop app.
From the flask example with the current API:

```
def post_authorize():
        realms = request.form.getlist('realms')
        try:
            u, h, b, s = provider.create_authorization_response(request.url,
                    http_method=request.method,
                    body=request.data,
                    headers=request.headers,
                    realms=realms)
                url = urlparse(u)
                if url.path == 'oob':
                    return 'Your verifier is: ' + str(urlparse.parse_qs(url.query)['oauth_verifier'][0])
                else:
                    return redirect(u)
        except OAuth1Error as e:
            return redirect(e.in_uri(url_for('/error')))
```

With the proposed API:

```
def post_authorize():
        realms = request.form.getlist('realms')
        try:
            h, b, s = provider.create_authorization_response(request.url,
                    http_method=request.method,
                    body=request.data,
                    headers=request.headers,
                    realms=realms)
            if status == 200:
                assert headers['Content-Type'] == 'application/x-www-form-urlencoded'
                return 'Your verifier is: ' + str(urlparse.parse_qs(b)['oauth_verifier'][0])
            else:
                return build_response(h, b, s)
        except OAuth1Error as e:
            return redirect(e.in_uri(url_for('/error')))

def build_response(headers, body, status):
        return Response(body, status=status, headers=headers)
```

The proposed API allows for more generic handling, `build_response` could be reused in the request and access endpoints.
",,,exampl I need return verifi user desktop app from flask exampl current api with propos api the propos api allow gener handl could reus request access endpoint
