rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,634,nilearn,nilearn,AlexandreAbraham,2015-07-05 00:50:55,"Add Multi subject dictionary learning based on [Varoquaux et al. 2011](https://hal.inria.fr/inria-00588898/) along with tests, example and documentations.
",start issue,Add dictionary learning,add multi subject dictionari learn base varoquaux et al 2011 along test exampl document
issue_closed,634,nilearn,nilearn,lesteve,2015-12-14 10:03:12,,closed issue,Add dictionary learning,
issue_comment,634,nilearn,nilearn,GaelVaroquaux,2015-07-05 08:19:36,"Let's start with a simple l1-penalized dict learning, before full blown
MSDL.

G

On Sat, Jul 04, 2015 at 05:50:55PM -0700, Alexandre Abraham wrote:

> Add Multi subject dictionary learning based on Varoquaux et al. 2011 along with
> tests, example and documentations.
> 
> —
> Reply to this email directly or view it on GitHub.*

## 

```
Gael Varoquaux
Researcher, INRIA Parietal
NeuroSpin/CEA Saclay , Bat 145, 91191 Gif-sur-Yvette France
Phone:  ++ 33-1-69-08-79-68
http://gael-varoquaux.info            http://twitter.com/GaelVaroquaux
```
",,,let start simpl l1penal dict learn full blown msdl G On sat jul 04 2015 055055pm 0700 alexandr abraham wrote
issue_comment,634,nilearn,nilearn,AlexandreAbraham,2015-07-05 08:46:46,"I've coded simple dictionary learning based on sklearn online dictionary learning a very long time ago. I was planning to merge it after the spectral clustering PR was merged but it never was. I can rehabilitate it though.
",,,ive code simpl dictionari learn base sklearn onlin dictionari learn long time ago I plan merg spectral cluster PR merg never I rehabilit though
issue_comment,634,nilearn,nilearn,GaelVaroquaux,2015-07-05 08:50:04,"> I've coded simple dictionary learning based on sklearn online dictionary
> learning a very long time ago. I was planning to merge it after the spectral
> clustering PR was merged but it never was. I can rehabilitate it though.

Talk to Arthur!
",,,talk arthur
issue_comment,634,nilearn,nilearn,arthurmensch,2015-07-06 13:19:52,"I have a working branch with simple dict learning working. Should I make it a PR already ?
",,,I work branch simpl dict learn work should I make PR alreadi
issue_comment,634,nilearn,nilearn,GaelVaroquaux,2015-07-06 14:38:13,"> I have a working branch with simple dict learning working. Should I make it a
> PR already ?

I think you should.
",,,I think
issue_comment,634,nilearn,nilearn,AlexandreAbraham,2015-07-06 14:45:16,"> I think you should.

:+1: 
",,,1
issue_comment,634,nilearn,nilearn,lesteve,2015-12-14 10:02:23,"Closing since #693 has been merged.
",,,close sinc 693 merg
