rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text,Test
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text,N
issue_title,307,idan,oauthlib,flamusdiu,2015-01-18 23:35:51,"Pull request for idan#306
",start issue,Patch 1,pull request idan306,N
issue_closed,307,idan,oauthlib,flamusdiu,2015-05-17 15:51:19,nan,closed issue,Patch 1,nan,N
pull_request_title,307,idan,oauthlib,flamusdiu,2015-01-18 23:35:51,"Pull request for idan#306
",6d5bceb394821b63cf901c379adc77482817b5e9,Patch 1,pull request idan306,N
issue_comment,307,idan,oauthlib,flamusdiu,2015-01-20 02:54:13,"Going to close this in favor of #297 solution (which seem more robust anyway). =D
",nan,nan,go close favor 297 solut seem robust anyway D,N
issue_comment,307,idan,oauthlib,josephtate,2015-04-13 08:20:33,"This change does not contain tests. I'd vote for closing it in favor of #323, which is technically similar, but much more complete.
",nan,nan,thi chang contain test Id vote close favor 323 technic similar much complet,Y
pull_request_commit,307,idan,oauthlib,flamusdiu,2015-01-18 23:32:01,Fixes https://github.com/idan/oauthlib/issues/306,fd06bf69677e5f52cbbc300d26888ddc7b55b11a,nan,fix,N
pull_request_commit,307,idan,oauthlib,flamusdiu,2015-01-18 23:35:05,Fixed carriage return,2abb23038ac25da6012d3153afb67f38d4349f13,nan,fix carriag return,N
pull_request_commit,307,idan,oauthlib,flamusdiu,2015-01-20 03:20:40,"Changed scope_to_list() to return empty list.

Possible partial fix for https://github.com/idan/oauthlib/issues/297",dd82588c3269bd56b7ba33e768fed4dfabd6f319,nan,chang scopetolist return empti list possibl partial fix,N
pull_request_commit,307,idan,oauthlib,flamusdiu,2015-01-20 03:23:28,"Make sure scope is not None 

Instead of the try statement, with the fix I added to util.py, you only need a if/else. Here's another way to fix https://github.com/idan/oauthlib/issues/296 and https://github.com/idan/oauthlib/issues/306",0d6bc6cb7c98f2624b2249a246ffdd552b4a9227,nan,make sure scope none instead tri statement fix I ad utilpi need ifels here anoth way fix,N
pull_request_commit,307,idan,oauthlib,flamusdiu,2015-02-04 15:20:46,"Merge pull request #2 from georgewhewell/lock-requirements

Lock requirements",6d5bceb394821b63cf901c379adc77482817b5e9,nan,merg pull request 2 georgewhewelllockrequir lock requir,N
